Sexo;Comunidad autónoma y provincia de residencia;País de nacionalidad;Unidades de medida;Total
Ambos sexos;Total Nacional;Turquía;Edad media;33,32
Ambos sexos;Total Nacional;Vietnam;Edad media;29,13
Ambos sexos;Total Nacional;Kazajstán;Edad media;32,51
Ambos sexos;Total Nacional;Otros países de Asia;Edad media;33,13
Ambos sexos;Total Nacional;Australia;Edad media;41,23
Ambos sexos;Total Nacional;Apátridas;Edad media;34,72
Ambos sexos;Total Nacional;Otros países de Oceanía;Edad media;39,48
Ambos sexos;01 Andalucía;Total;Edad media;42,44
Ambos sexos;01 Andalucía;Albania;Edad media;33,55
Ambos sexos;01 Andalucía;Austria;Edad media;49,42
Ambos sexos;01 Andalucía;Bélgica;Edad media;53,31
Ambos sexos;01 Andalucía;Bulgaria;Edad media;39,57
Ambos sexos;01 Andalucía;Dinamarca;Edad media;54,37
Ambos sexos;01 Andalucía;España;Edad media;42,72
Ambos sexos;01 Andalucía;Finlandia;Edad media;54,48
Ambos sexos;01 Andalucía;Francia;Edad media;47,41
Ambos sexos;01 Andalucía;Grecia;Edad media;40,02
Ambos sexos;01 Andalucía;Hungría;Edad media;36,26
Ambos sexos;01 Andalucía;Irlanda;Edad media;51,32
Ambos sexos;01 Andalucía;Italia;Edad media;40,91
Ambos sexos;01 Andalucía;Noruega;Edad media;52,54
Ambos sexos;01 Andalucía;Países Bajos;Edad media;50,83
Ambos sexos;01 Andalucía;Polonia;Edad media;37,53
Ambos sexos;01 Andalucía;Portugal;Edad media;43,42
Ambos sexos;01 Andalucía;Andorra;Edad media;33,21
Ambos sexos;01 Andalucía;Reino Unido;Edad media;55,78
Ambos sexos;01 Andalucía;Alemania;Edad media;53,24
Ambos sexos;01 Andalucía;Rumanía;Edad media;34,3
Ambos sexos;01 Andalucía;Suecia;Edad media;52,13
Ambos sexos;01 Andalucía;Suiza;Edad media;53,42
Ambos sexos;01 Andalucía;Ucrania;Edad media;39,02
Ambos sexos;01 Andalucía;Letonia;Edad media;35,47
Ambos sexos;01 Andalucía;Moldavia;Edad media;34,49
Ambos sexos;01 Andalucía;Belarús;Edad media;38,97
Ambos sexos;01 Andalucía;Georgia;Edad media;35,3
Ambos sexos;01 Andalucía;Estonia;Edad media;34,55
Ambos sexos;01 Andalucía;Lituania;Edad media;36,6
Ambos sexos;01 Andalucía;República Checa;Edad media;36,34
Ambos sexos;01 Andalucía;República Eslovaca;Edad media;35,65
Ambos sexos;01 Andalucía;Croacia;Edad media;39,3
Ambos sexos;01 Andalucía;Armenia;Edad media;38,35
Ambos sexos;01 Andalucía;Rusia;Edad media;39,2
Ambos sexos;01 Andalucía;Serbia;Edad media;38,07
Ambos sexos;01 Andalucía;Otros países de Europa;Edad media;40,84
Ambos sexos;01 Andalucía;Angola;Edad media;38,73
Ambos sexos;01 Andalucía;Argelia;Edad media;34,61
Ambos sexos;01 Andalucía;Cabo Verde;Edad media;41,84
Ambos sexos;01 Andalucía;Camerún;Edad media;31,32
Ambos sexos;01 Andalucía;Costa de Marfil;Edad media;28,27
Ambos sexos;01 Andalucía;Egipto;Edad media;35,91
Ambos sexos;01 Andalucía;Etiopía;Edad media;34,07
Ambos sexos;01 Andalucía;Gambia;Edad media;32,5
Ambos sexos;01 Andalucía;Ghana;Edad media;34,3
Ambos sexos;01 Andalucía;Guinea;Edad media;28,17
Ambos sexos;01 Andalucía;Guinea-Bissau;Edad media;36,37
Ambos sexos;01 Andalucía;Guinea Ecuatorial;Edad media;30,63
Ambos sexos;01 Andalucía;Mali;Edad media;32,83
Ambos sexos;01 Andalucía;Marruecos;Edad media;32,17
Ambos sexos;01 Andalucía;Mauritania;Edad media;38,28
Ambos sexos;01 Andalucía;Nigeria;Edad media;33,89
Ambos sexos;01 Andalucía;Sudáfrica;Edad media;46,01
Ambos sexos;01 Andalucía;Senegal;Edad media;35,2
Ambos sexos;01 Andalucía;Túnez;Edad media;35,46
Ambos sexos;01 Andalucía;Otros países de África;Edad media;34,51
Ambos sexos;01 Andalucía;Canadá;Edad media;48,2
Ambos sexos;01 Andalucía;Estados Unidos de América;Edad media;43,21
Ambos sexos;01 Andalucía;México;Edad media;36,28
Ambos sexos;01 Andalucía;Costa Rica;Edad media;34,57
Ambos sexos;01 Andalucía;Cuba;Edad media;40,72
Ambos sexos;01 Andalucía;El Salvador;Edad media;29,99
Ambos sexos;01 Andalucía;Guatemala;Edad media;30,73
Ambos sexos;01 Andalucía;Honduras;Edad media;31,04
Ambos sexos;01 Andalucía;Nicaragua;Edad media;32,2
Ambos sexos;01 Andalucía;Panamá;Edad media;31,33
Ambos sexos;01 Andalucía;República Dominicana;Edad media;32,94
Ambos sexos;01 Andalucía;Argentina;Edad media;39,13
Ambos sexos;01 Andalucía;Bolivia;Edad media;34,66
Ambos sexos;01 Andalucía;Brasil;Edad media;35,53
Ambos sexos;01 Andalucía;Colombia;Edad media;35,28
Ambos sexos;01 Andalucía;Chile;Edad media;38,83
Ambos sexos;01 Andalucía;Ecuador;Edad media;35,9
Ambos sexos;01 Andalucía;Paraguay;Edad media;35,05
Ambos sexos;01 Andalucía;Perú;Edad media;37,24
Ambos sexos;01 Andalucía;Uruguay;Edad media;41,25
Ambos sexos;01 Andalucía;Venezuela;Edad media;35,31
Ambos sexos;01 Andalucía;Otros países de América;Edad media;37,94
Ambos sexos;01 Andalucía;Bangladesh;Edad media;29,4
Ambos sexos;01 Andalucía;China;Edad media;32,13
Ambos sexos;01 Andalucía;Filipinas;Edad media;39,24
Ambos sexos;01 Andalucía;India;Edad media;35,15
Ambos sexos;01 Andalucía;Indonesia;Edad media;38,66
Ambos sexos;01 Andalucía;Iraq;Edad media;36,79
Ambos sexos;01 Andalucía;Irán;Edad media;38,99
Ambos sexos;01 Andalucía;Israel;Edad media;39,28
Ambos sexos;01 Andalucía;Japón;Edad media;46,57
Ambos sexos;01 Andalucía;Jordania;Edad media;38,08
Ambos sexos;01 Andalucía;Líbano;Edad media;39,15
Ambos sexos;01 Andalucía;Nepal;Edad media;31,05
Ambos sexos;01 Andalucía;Pakistán;Edad media;31,03
Ambos sexos;01 Andalucía;Corea;Edad media;35,02
Ambos sexos;01 Andalucía;Siria;Edad media;30,01
Ambos sexos;01 Andalucía;Tailandia;Edad media;42,51
Ambos sexos;01 Andalucía;Turquía;Edad media;34,07
Ambos sexos;01 Andalucía;Vietnam;Edad media;30,59
Ambos sexos;01 Andalucía;Kazajstán;Edad media;34,81
Ambos sexos;01 Andalucía;Otros países de Asia;Edad media;36,14
Ambos sexos;01 Andalucía;Australia;Edad media;46,51
Ambos sexos;01 Andalucía;Apátridas;Edad media;35,46
Ambos sexos;01 Andalucía;Otros países de Oceanía;Edad media;46,6
Ambos sexos;04 Almería;Total;Edad media;40,59
Ambos sexos;04 Almería;Albania;Edad media;29,89
Ambos sexos;04 Almería;Austria;Edad media;56,27
Ambos sexos;04 Almería;Bélgica;Edad media;57,43
Ambos sexos;04 Almería;Bulgaria;Edad media;38,92
Ambos sexos;04 Almería;Dinamarca;Edad media;54,59
Ambos sexos;04 Almería;España;Edad media;41,65
Ambos sexos;04 Almería;Finlandia;Edad media;45,73
Ambos sexos;04 Almería;Francia;Edad media;53,22
Ambos sexos;04 Almería;Grecia;Edad media;40,31
Ambos sexos;04 Almería;Hungría;Edad media;38,25
Ambos sexos;04 Almería;Irlanda;Edad media;57,66
Ambos sexos;04 Almería;Italia;Edad media;43,36
Ambos sexos;04 Almería;Noruega;Edad media;54,96
Ambos sexos;04 Almería;Países Bajos;Edad media;55,43
Ambos sexos;04 Almería;Polonia;Edad media;38,69
Ambos sexos;04 Almería;Portugal;Edad media;40,99
Ambos sexos;04 Almería;Andorra;Edad media;50,21
Ambos sexos;04 Almería;Reino Unido;Edad media;61,53
Ambos sexos;04 Almería;Alemania;Edad media;56,01
Ambos sexos;04 Almería;Rumanía;Edad media;33,65
Ambos sexos;04 Almería;Suecia;Edad media;61,89
Ambos sexos;04 Almería;Suiza;Edad media;58,66
Ambos sexos;04 Almería;Ucrania;Edad media;38,17
Ambos sexos;04 Almería;Letonia;Edad media;41,3
Ambos sexos;04 Almería;Moldavia;Edad media;31,66
Ambos sexos;04 Almería;Belarús;Edad media;41,5
Ambos sexos;04 Almería;Georgia;Edad media;31,8
Ambos sexos;04 Almería;Estonia;Edad media;30,86
Ambos sexos;04 Almería;Lituania;Edad media;36,84
Ambos sexos;04 Almería;República Checa;Edad media;38,17
Ambos sexos;04 Almería;República Eslovaca;Edad media;38,44
Ambos sexos;04 Almería;Croacia;Edad media;49,37
Ambos sexos;04 Almería;Armenia;Edad media;45,22
Ambos sexos;04 Almería;Rusia;Edad media;39,19
Ambos sexos;04 Almería;Serbia;Edad media;33,43
Ambos sexos;04 Almería;Otros países de Europa;Edad media;42,38
Ambos sexos;04 Almería;Angola;Edad media;36,36
Ambos sexos;04 Almería;Argelia;Edad media;33,36
Ambos sexos;04 Almería;Cabo Verde;Edad media;38,52
Ambos sexos;04 Almería;Camerún;Edad media;29,97
Ambos sexos;04 Almería;Costa de Marfil;Edad media;29,71
Ambos sexos;04 Almería;Egipto;Edad media;33,56
Ambos sexos;04 Almería;Etiopía;Edad media;24,38
Ambos sexos;04 Almería;Gambia;Edad media;33,3
Ambos sexos;04 Almería;Ghana;Edad media;34,07
Ambos sexos;04 Almería;Guinea;Edad media;31,35
Ambos sexos;04 Almería;Guinea-Bissau;Edad media;36,51
Ambos sexos;04 Almería;Guinea Ecuatorial;Edad media;35,38
Ambos sexos;04 Almería;Mali;Edad media;32,25
Ambos sexos;04 Almería;Marruecos;Edad media;29,66
Ambos sexos;04 Almería;Mauritania;Edad media;38,42
Ambos sexos;04 Almería;Nigeria;Edad media;32,82
Ambos sexos;04 Almería;Sudáfrica;Edad media;50,52
Ambos sexos;04 Almería;Senegal;Edad media;33,41
Ambos sexos;04 Almería;Túnez;Edad media;33,72
Ambos sexos;04 Almería;Otros países de África;Edad media;32,2
Ambos sexos;04 Almería;Canadá;Edad media;48,07
Ambos sexos;04 Almería;Estados Unidos de América;Edad media;46,54
Ambos sexos;04 Almería;México;Edad media;36,18
Ambos sexos;04 Almería;Costa Rica;Edad media;33,02
Ambos sexos;04 Almería;Cuba;Edad media;39,89
Ambos sexos;04 Almería;El Salvador;Edad media;29,73
Ambos sexos;04 Almería;Guatemala;Edad media;32,71
Ambos sexos;04 Almería;Honduras;Edad media;30,61
Ambos sexos;04 Almería;Nicaragua;Edad media;31,49
Ambos sexos;04 Almería;Panamá;Edad media;31,42
Ambos sexos;04 Almería;República Dominicana;Edad media;32,23
Ambos sexos;04 Almería;Argentina;Edad media;39,25
Ambos sexos;04 Almería;Bolivia;Edad media;33,42
Ambos sexos;04 Almería;Brasil;Edad media;34,85
Ambos sexos;04 Almería;Colombia;Edad media;35,27
Ambos sexos;04 Almería;Chile;Edad media;40,02
Ambos sexos;04 Almería;Ecuador;Edad media;33,87
Ambos sexos;04 Almería;Paraguay;Edad media;36,55
Ambos sexos;04 Almería;Perú;Edad media;36,51
Ambos sexos;04 Almería;Uruguay;Edad media;44,28
Ambos sexos;04 Almería;Venezuela;Edad media;35,92
Ambos sexos;04 Almería;Otros países de América;Edad media;41,59
Ambos sexos;04 Almería;Bangladesh;Edad media;30,79
Ambos sexos;04 Almería;China;Edad media;32,61
Ambos sexos;04 Almería;Filipinas;Edad media;42,97
Ambos sexos;04 Almería;India;Edad media;31,14
Ambos sexos;04 Almería;Indonesia;Edad media;31,4
Ambos sexos;04 Almería;Iraq;Edad media;46,31
Ambos sexos;04 Almería;Irán;Edad media;46,19
Ambos sexos;04 Almería;Israel;Edad media;43,02
Ambos sexos;04 Almería;Japón;Edad media;43,65
Ambos sexos;04 Almería;Jordania;Edad media;37,16
Ambos sexos;04 Almería;Líbano;Edad media;37,5
Ambos sexos;04 Almería;Nepal;Edad media;29,37
Ambos sexos;04 Almería;Pakistán;Edad media;29,79
Ambos sexos;04 Almería;Corea;Edad media;38,99
Ambos sexos;04 Almería;Siria;Edad media;25,56
Ambos sexos;04 Almería;Tailandia;Edad media;45,46
Ambos sexos;04 Almería;Turquía;Edad media;26,36
Ambos sexos;04 Almería;Vietnam;Edad media;32,65
Ambos sexos;04 Almería;Kazajstán;Edad media;41,95
Ambos sexos;04 Almería;Otros países de Asia;Edad media;35,31
Ambos sexos;04 Almería;Australia;Edad media;49,87
Ambos sexos;04 Almería;Apátridas;Edad media;29,45
Ambos sexos;04 Almería;Otros países de Oceanía;Edad media;47,38
Ambos sexos;11 Cádiz;Total;Edad media;42,31
Ambos sexos;11 Cádiz;Albania;Edad media;36,02
Ambos sexos;11 Cádiz;Austria;Edad media;48,12
Ambos sexos;11 Cádiz;Bélgica;Edad media;48,77
Ambos sexos;11 Cádiz;Bulgaria;Edad media;36,94
Ambos sexos;11 Cádiz;Dinamarca;Edad media;46,44
Ambos sexos;11 Cádiz;España;Edad media;42,46
Ambos sexos;11 Cádiz;Finlandia;Edad media;47,5
Ambos sexos;11 Cádiz;Francia;Edad media;47,51
Ambos sexos;11 Cádiz;Grecia;Edad media;39,36
Ambos sexos;11 Cádiz;Hungría;Edad media;34,86
Ambos sexos;11 Cádiz;Irlanda;Edad media;45,6
Ambos sexos;11 Cádiz;Italia;Edad media;40,88
Ambos sexos;11 Cádiz;Noruega;Edad media;45,47
Ambos sexos;11 Cádiz;Países Bajos;Edad media;49,61
Ambos sexos;11 Cádiz;Polonia;Edad media;37,18
Ambos sexos;11 Cádiz;Portugal;Edad media;42,81
Ambos sexos;11 Cádiz;Andorra;Edad media;24,71
Ambos sexos;11 Cádiz;Reino Unido;Edad media;48,97
Ambos sexos;11 Cádiz;Alemania;Edad media;49,88
Ambos sexos;11 Cádiz;Rumanía;Edad media;34,86
Ambos sexos;11 Cádiz;Suecia;Edad media;46,88
Ambos sexos;11 Cádiz;Suiza;Edad media;51,61
Ambos sexos;11 Cádiz;Ucrania;Edad media;39,86
Ambos sexos;11 Cádiz;Letonia;Edad media;34,91
Ambos sexos;11 Cádiz;Moldavia;Edad media;41,83
Ambos sexos;11 Cádiz;Belarús;Edad media;38,38
Ambos sexos;11 Cádiz;Georgia;Edad media;29,49
Ambos sexos;11 Cádiz;Estonia;Edad media;32,5
Ambos sexos;11 Cádiz;Lituania;Edad media;35,62
Ambos sexos;11 Cádiz;República Checa;Edad media;34,77
Ambos sexos;11 Cádiz;República Eslovaca;Edad media;34,04
Ambos sexos;11 Cádiz;Croacia;Edad media;41,61
Ambos sexos;11 Cádiz;Armenia;Edad media;36,73
Ambos sexos;11 Cádiz;Rusia;Edad media;40,25
Ambos sexos;11 Cádiz;Serbia;Edad media;38,01
Ambos sexos;11 Cádiz;Otros países de Europa;Edad media;37,07
Ambos sexos;11 Cádiz;Angola;Edad media;38,57
Ambos sexos;11 Cádiz;Argelia;Edad media;33,99
Ambos sexos;11 Cádiz;Cabo Verde;Edad media;34,04
Ambos sexos;11 Cádiz;Camerún;Edad media;30,28
Ambos sexos;11 Cádiz;Costa de Marfil;Edad media;27,14
Ambos sexos;11 Cádiz;Egipto;Edad media;37,82
Ambos sexos;11 Cádiz;Etiopía;Edad media;32,5
Ambos sexos;11 Cádiz;Gambia;Edad media;28,7
Ambos sexos;11 Cádiz;Ghana;Edad media;31,45
Ambos sexos;11 Cádiz;Guinea;Edad media;23,79
Ambos sexos;11 Cádiz;Guinea-Bissau;Edad media;32,96
Ambos sexos;11 Cádiz;Guinea Ecuatorial;Edad media;30,2
Ambos sexos;11 Cádiz;Mali;Edad media;27,16
Ambos sexos;11 Cádiz;Marruecos;Edad media;34,03
Ambos sexos;11 Cádiz;Mauritania;Edad media;37,49
Ambos sexos;11 Cádiz;Nigeria;Edad media;30,63
Ambos sexos;11 Cádiz;Sudáfrica;Edad media;45,3
Ambos sexos;11 Cádiz;Senegal;Edad media;35,12
Ambos sexos;11 Cádiz;Túnez;Edad media;36,53
Ambos sexos;11 Cádiz;Otros países de África;Edad media;35,8
Ambos sexos;11 Cádiz;Canadá;Edad media;44,82
Ambos sexos;11 Cádiz;Estados Unidos de América;Edad media;39,39
Ambos sexos;11 Cádiz;México;Edad media;36,17
Ambos sexos;11 Cádiz;Costa Rica;Edad media;35,15
Ambos sexos;11 Cádiz;Cuba;Edad media;41,55
Ambos sexos;11 Cádiz;El Salvador;Edad media;31,33
Ambos sexos;11 Cádiz;Guatemala;Edad media;30,38
Ambos sexos;11 Cádiz;Honduras;Edad media;30,96
Ambos sexos;11 Cádiz;Nicaragua;Edad media;33,02
Ambos sexos;11 Cádiz;Panamá;Edad media;32,51
Ambos sexos;11 Cádiz;República Dominicana;Edad media;33,53
Ambos sexos;11 Cádiz;Argentina;Edad media;39,42
Ambos sexos;11 Cádiz;Bolivia;Edad media;36,07
Ambos sexos;11 Cádiz;Brasil;Edad media;36,12
Ambos sexos;11 Cádiz;Colombia;Edad media;35,67
Ambos sexos;11 Cádiz;Chile;Edad media;40,78
Ambos sexos;11 Cádiz;Ecuador;Edad media;37,55
Ambos sexos;11 Cádiz;Paraguay;Edad media;35,8
Ambos sexos;11 Cádiz;Perú;Edad media;37,07
Ambos sexos;11 Cádiz;Uruguay;Edad media;40,21
Ambos sexos;11 Cádiz;Venezuela;Edad media;37
Ambos sexos;11 Cádiz;Otros países de América;Edad media;41,67
Ambos sexos;11 Cádiz;Bangladesh;Edad media;28,67
Ambos sexos;11 Cádiz;China;Edad media;32,14
Ambos sexos;11 Cádiz;Filipinas;Edad media;41,2
Ambos sexos;11 Cádiz;India;Edad media;32,66
Ambos sexos;11 Cádiz;Indonesia;Edad media;38,18
Ambos sexos;11 Cádiz;Iraq;Edad media;28,94
Ambos sexos;11 Cádiz;Irán;Edad media;52,62
Ambos sexos;11 Cádiz;Israel;Edad media;32,8
Ambos sexos;11 Cádiz;Japón;Edad media;46,48
Ambos sexos;11 Cádiz;Jordania;Edad media;45,03
Ambos sexos;11 Cádiz;Líbano;Edad media;39,72
Ambos sexos;11 Cádiz;Nepal;Edad media;44,83
Ambos sexos;11 Cádiz;Pakistán;Edad media;30,21
Ambos sexos;11 Cádiz;Corea;Edad media;37,04
Ambos sexos;11 Cádiz;Siria;Edad media;25,21
Ambos sexos;11 Cádiz;Tailandia;Edad media;43,9
Ambos sexos;11 Cádiz;Turquía;Edad media;34,85
Ambos sexos;11 Cádiz;Vietnam;Edad media;31,06
Ambos sexos;11 Cádiz;Kazajstán;Edad media;30,71
Ambos sexos;11 Cádiz;Otros países de Asia;Edad media;31,38
Ambos sexos;11 Cádiz;Australia;Edad media;43,31
Ambos sexos;11 Cádiz;Apátridas;Edad media;34,46
Ambos sexos;11 Cádiz;Otros países de Oceanía;Edad media;49,5
Ambos sexos;14 Córdoba;Total;Edad media;43,86
Ambos sexos;14 Córdoba;Albania;Edad media;26,77
Ambos sexos;14 Córdoba;Austria;Edad media;49,15
Ambos sexos;14 Córdoba;Bélgica;Edad media;50,15
Ambos sexos;14 Córdoba;Bulgaria;Edad media;36,21
Ambos sexos;14 Córdoba;Dinamarca;Edad media;48,72
Ambos sexos;14 Córdoba;España;Edad media;44,11
Ambos sexos;14 Córdoba;Finlandia;Edad media;38,09
Ambos sexos;14 Córdoba;Francia;Edad media;46,17
Ambos sexos;14 Córdoba;Grecia;Edad media;31,48
Ambos sexos;14 Córdoba;Hungría;Edad media;35,98
Ambos sexos;14 Córdoba;Irlanda;Edad media;44,28
Ambos sexos;14 Córdoba;Italia;Edad media;41,93
Ambos sexos;14 Córdoba;Noruega;Edad media;51,01
Ambos sexos;14 Córdoba;Países Bajos;Edad media;49,05
Ambos sexos;14 Córdoba;Polonia;Edad media;37
Ambos sexos;14 Córdoba;Portugal;Edad media;42,25
Ambos sexos;14 Córdoba;Andorra;Edad media;0
Ambos sexos;14 Córdoba;Reino Unido;Edad media;54,1
Ambos sexos;14 Córdoba;Alemania;Edad media;48,84
Ambos sexos;14 Córdoba;Rumanía;Edad media;32,83
Ambos sexos;14 Córdoba;Suecia;Edad media;53,7
Ambos sexos;14 Córdoba;Suiza;Edad media;41,82
Ambos sexos;14 Córdoba;Ucrania;Edad media;40,17
Ambos sexos;14 Córdoba;Letonia;Edad media;29,77
Ambos sexos;14 Córdoba;Moldavia;Edad media;32,19
Ambos sexos;14 Córdoba;Belarús;Edad media;41,7
Ambos sexos;14 Córdoba;Georgia;Edad media;39,8
Ambos sexos;14 Córdoba;Estonia;Edad media;35,68
Ambos sexos;14 Córdoba;Lituania;Edad media;36,52
Ambos sexos;14 Córdoba;República Checa;Edad media;34,96
Ambos sexos;14 Córdoba;República Eslovaca;Edad media;32,19
Ambos sexos;14 Córdoba;Croacia;Edad media;29,07
Ambos sexos;14 Córdoba;Armenia;Edad media;36,72
Ambos sexos;14 Córdoba;Rusia;Edad media;43,04
Ambos sexos;14 Córdoba;Serbia;Edad media;44,81
Ambos sexos;14 Córdoba;Otros países de Europa;Edad media;41,9
Ambos sexos;14 Córdoba;Angola;Edad media;37,4
Ambos sexos;14 Córdoba;Argelia;Edad media;30,94
Ambos sexos;14 Córdoba;Cabo Verde;Edad media;44,76
Ambos sexos;14 Córdoba;Camerún;Edad media;28,13
Ambos sexos;14 Córdoba;Costa de Marfil;Edad media;22,82
Ambos sexos;14 Córdoba;Egipto;Edad media;40,79
Ambos sexos;14 Córdoba;Etiopía;Edad media;29,38
Ambos sexos;14 Córdoba;Gambia;Edad media;26,89
Ambos sexos;14 Córdoba;Ghana;Edad media;23,12
Ambos sexos;14 Córdoba;Guinea;Edad media;23,46
Ambos sexos;14 Córdoba;Guinea-Bissau;Edad media;30,44
Ambos sexos;14 Córdoba;Guinea Ecuatorial;Edad media;28,87
Ambos sexos;14 Córdoba;Mali;Edad media;30,39
Ambos sexos;14 Córdoba;Marruecos;Edad media;33,86
Ambos sexos;14 Córdoba;Mauritania;Edad media;39,91
Ambos sexos;14 Córdoba;Nigeria;Edad media;27,77
Ambos sexos;14 Córdoba;Sudáfrica;Edad media;29,91
Ambos sexos;14 Córdoba;Senegal;Edad media;34,84
Ambos sexos;14 Córdoba;Túnez;Edad media;32,04
Ambos sexos;14 Córdoba;Otros países de África;Edad media;34,29
